2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:32		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:32		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:32		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:32		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:32		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:32		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:32		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:32		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:32		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:33		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:34		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:35		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:36		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
